Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
Sua,Kim Bora,김보라,수아,8/10/94,Dreamcatcher,South Korea,,164,0,Changwon,,Minx,F,,,
Siyeon,Lee Siyeon,이시연,시연,10/1/95,Dreamcatcher,South Korea,,170,0,Daegu,,Minx,F,,,
Yoohyeon,Kim Yoohyeon,김유현,유현,1/7/97,Dreamcatcher,South Korea,,171,0,Incheon,,Minx,F,,,
Dami,Lee Yoobin,이유빈,다미,3/7/97,Dreamcatcher,South Korea,,163,0,Seoul,,Minx,F,,,
Hyebin,Lee Hyebin,이혜빈,혜빈,1/12/96,MOMOLAND,South Korea,,165,44,Andong,,,F,,,
Yeonwoo,Lee Dabin,이다빈,연우,8/1/96,,South Korea,,170,49,Seoul,,MOMOLAND,F,,,
Jane,Sung Jiyeon,성지연,제인,12/20/97,MOMOLAND,South Korea,,167,46,Changwon,,,F,,,
Nayun,Kim Nayun,김나윤,나윤,7/31/98,MOMOLAND,South Korea,,167,48,Seoul,,,F,,,
Joo E,Lee Joowon,이주원,주이,8/18/99,MOMOLAND,South Korea,,164,45,Bucheon,,,F,,,
AhIn,Lee Ahin,이아인,아인,9/27/99,MOMOLAND,South Korea,,160,44,Wonju,,,F,,,
Nancy,Nancy Mcdonie,낸시 맥다니,낸시,4/13/00,MOMOLAND,South Korea,USA,162,45,Daegu,,,F,,,
Sumin,Ji Sumin,지수민,수민,3/3/94,Sonamoo,South Korea,,168,0,Yongin,,,F,Leader,,SONAMOO_SuMin
Minjae,Seong Minjae,성민재,민재,12/18/94,Sonamoo,South Korea,,165,0,Busan,,,F,Lead Vocalist,,SONAMOO_MinJae
D.ana,Cho Eunae,조은애,디애나,9/10/95,Sonamoo,South Korea,,170,0,Seoul,,,F,Rapper,,SONAMOO_Dana
Nahyun,Kim Nahyun,김나현,나현,12/9/95,Sonamoo,South Korea,,170,0,Seoul,,,F,,,SONAMOO_Nahyun
Euijin,Hong Euijin,홍의진,의진,10/8/96,Sonamoo,South Korea,,168,0,Gwangju,UNI.T,,F,,,SONAMOO_EuiJin
High.D,Kim Dohee,김도희,하이디,12/21/96,Sonamoo,South Korea,,165,0,Suwon,,,F,Main Vocalist,,SONAMOO_HighD
New Sun,Choi Yoonsun,최윤선,뉴썬,6/19/97,Sonamoo,South Korea,,172,0,,,,F,Rapper,,SONAMOO_NewSun
T.O.P,Choi Seunghyun,최승현,탑,11/4/87,BIGBANG,South Korea,,180,65,Seoul,GD&TOP,,M,,,
Taeyang,Dong Youngbae,동영배,태양,5/18/88,BIGBANG,South Korea,,174,56,Uljeongbu,,,M,,,
G-Dragon,Kwon Jiyong,권지용,지드래곤,8/18/88,BIGBANG,South Korea,,177,58,Seoul,GD&TOP,,M,,,
Daesung,Daesung,강대성,대성,4/26/89,BIGBANG,South Korea,,178,63,Incheon,,,M,,,
Seungri,Lee Seunghyun,이승현,승리,12/12/90,,South Korea,,176,60,Gwangju,,BIGBANG,M,,,
Leeteuk,Park Jeongsu,박정수,이특,7/1/83,Super Junior,South Korea,,179,59,Seoul,,,M,,,
Heechul,Kim Heechul,김희철,희철,7/10/83,Super Junior,South Korea,,179,60,Hoengseong,,,M,,,
Yesung,Kim Jongwoon,김종운,예성,8/24/84,Super Junior,South Korea,,178,64,Seoul,,,M,,,
Kangin,Kim Youngwoon,김영운,강인,1/17/85,,South Korea,,178,70,Seoul,,Super Junior,M,,,
Sungmin,Lee Sungmin,이성민,성민,1/1/86,Super Junior,South Korea,,175,57,Gyeonggi,Super Junior-M,,M,,,
Shindong,Shin Donghee,신동희,신동,9/28/85,Super Junior,South Korea,,178,90,Mungyeong,,,M,,,
Eunhyuk,Lee Hyukjae,이혁재,은혁,4/4/86,Super Junior,South Korea,,176,58,Ilsan,Super Junior-M,,M,,,
Siwon,Choi Siwon,최시원,시원,4/7/86,Super Junior,South Korea,,185,65,Seoul,Super Junior-M,,M,,,
Donghae,Lee Donghae,이동해,동해,10/15/86,Super Junior,South Korea,,176,60,Mokpo,Super Junior-M,,M,,,
Ryeowook,Kim Ryeowook,김려욱,려욱,6/21/87,Super Junior,South Korea,,175,58,Incheon,Super Junior-M,,M,,,
Kyuhyun,Cho Kyuhyun,조규현,규현,2/3/88,Super Junior,South Korea,,180,68,Seoul,Super Junior-M,,M,,,
Han Geng,Han Geng,한경,한경,2/9/84,,China,,181,66,Mudanjiang,,Super Junior,M,,,
Kibum,Kim Kibum,김기범,기범,8/21/87,,South Korea,,179,58,Seoul,,Super Junior,M,,,
Zhou Mi,Zhou Mi,조미,조미,4/19/86,Super Junior-M,China,,184,64,Wuhan,,,M,,,
Henry,Henry Lau,헨리 라우,헨리,10/11/89,Super Junior-M,Canada,"Hong Kong, Taiwan",176,63,Toronto,,,M,,,
Onew,Lee Jinki,이진기,온유,12/14/89,SHINee,South Korea,,177,61,Gwangmyeong,,,M,,,
Jonghyun†,Kim Jonghyun,김종현,종현,4/8/90,,South Korea,,173,56,Seoul,,SHINee,M,,,
Key,Kim Kibum,김기범,키,9/23/91,SHINee,South Korea,,179,59,Daegu,Toheart,,M,,,
Minho,Choi Minho,최민호,민호,12/9/91,SHINee,South Korea,,181,60,Incheon,,,M,,,
Taemin,Lee Taemin,이태민,태민,7/18/93,SHINee,South Korea,,177,53,Seoul,SuperM,,M,,,
Xiumin,Kim Minseok,김민석,시우민,3/26/90,EXO,South Korea,,173,65,Guri,EXO-CBX,,M,,,
Suho,Kim Junmyeon,김준면,수호,5/22/91,EXO,South Korea,,173,65,Seoul,,,M,,,
Lay,Zhang Yixing,장이씽,레이,10/7/91,EXO,China,,177,60,Changsa,,,M,,,
Baekhyun,Byun Baekhyun,변백현,백현,5/6/92,EXO,South Korea,,174,58,Wonmi,"EXO-CBX, SuperM",,M,,,
Chen,Kim Jongdae,김종대,첸,9/21/92,EXO,South Korea,,173,64,Silheung,EXO-CBX,,M,,,
Chanyeol,Park Chanyeol,박찬열,찬열,11/27/92,EXO,South Korea,,185,70,Seoul,,,M,,,
D.O.,Do Kyungsoo,도경수,디오,1/12/93,EXO,South Korea,,173,60,Gyeonggi,,,M,,,
Kai,Kim Jongin,김종인,카이,1/14/94,EXO,South Korea,,182,65,Suncheon,SuperM,,M,,,
Sehun,Oh Sehun,오세훈,세훈,4/12/94,EXO,South Korea,,181,63,Seoul,,,M,,,
Luhan,Lu Han,루한,루한,4/20/90,,China,,178,62,Haidian,,EXO,M,,,
Kris,Wu Yifan,오역범,크리스,11/6/90,,Canada,China,187,73,Guangzhou,,EXO,M,,,
Tao,Hwang Zitao,황자도,타오,5/2/93,,China,,183,70,Qingdao,,EXO,M,,,
Jinyoung,Jung Jinyoung,정진영,진영,11/18/91,,South Korea,,178,58,Chungju,,B1A4,M,,,
CNU,Shin Dongwoo,신동우,신우,6/16/91,B1A4,South Korea,,182,64,Seoul,,,M,,,
Sandeul,Lee Junghwan,이정환,산들,3/20/92,B1A4,South Korea,,178,62,Busan,,,M,,,
Baro,Cha Sunwoo,차선우,바로,9/5/92,,South Korea,,178,63,Gwangju,,B1A4,M,,,
Gongchan,Gong Chansik,공찬식,공찬,8/14/93,B1A4,South Korea,,181,60,Suncheon,,,M,,,
Yongguk,Bang Yongguk,방용국,용국,3/31/90,B.A.P,South Korea,,182,60,Incheon,,,M,,,
Himchan,Kim Himchan,김힘찬,힘찬,4/19/90,B.A.P,South Korea,,180,69,Seoul,,,M,,,
Daehyun,Jung Daehyun,정대현,대현,6/28/93,B.A.P,South Korea,,177,63,Busan,,,M,,,
Youngjae,Yoo Youngjae,유영재,영재,1/24/94,B.A.P,South Korea,,178,65,Seoul,,,M,,,
Jongup,Moon Jongup,문종업,종업,2/6/95,B.A.P,South Korea,,176,66,Seoul,,,M,,,
Zelo,Choi Junhong,최준홍,젤로,10/15/96,B.A.P,South Korea,,182,63,Mokpo,,,M,,,
Zico,Woo Jiho,우지호,지코,9/14/92,Block B,South Korea,,182,65,Seoul,,,M,,,
Taeil,Lee Taeil,이태일,태일,9/24/90,Block B,South Korea,,167,57,Seoul,,,M,,,
B-Bomb,Lee Minhyuk,이민혁,비범,12/14/90,Block B,South Korea,,178,60,Seoul,Bastarz,,M,,,
Jaehyo,Ahn Jaehyo,안재효,재효,12/23/90,Block B,South Korea,,182,60,Busan,,,M,,,
U-Kwon,Kim Yukwon,김유권,유권,4/9/92,Block B,South Korea,,176,63,Suwon,Bastarz,,M,,,
Park Kyung,Park Kyung,박경,박경,7/8/92,Block B,South Korea,,176,56,Seoul,,,M,,,
P.O,Pyo Jihoon,표지훈,피오,2/2/93,Block B,South Korea,,181,64,Seoul,Bastarz,,M,,,
Doojoon,Yoon Doojoon,윤두준,두준,7/4/89,Highlight,South Korea,,177,66,Goyang,,Beast,M,Leader,,
Junhyung,Yong Junyung,용준형,준형,12/19/89,Highlight,South Korea,,178,64,Seoul,,Beast,M,,,
Yoseob,Yang Yoseob,양요섭,요섭,1/5/90,Highlight,South Korea,,171,56,Seoul,,Beast,M,,,
Gikwang,Lee Gikwang,이기광,기광,3/30/90,Highlight,South Korea,,171,58,Gwangju,,Beast,M,,,
Dongwoon,Son Dongwoon,손동운,동운,6/6/91,Highlight,South Korea,,181,64,Busan,,Beast,M,,,
Hyunseung,Jang Hyunseung,장현승,현승,9/3/89,,South Korea,,177,58,Suncheon,Troublemaker,Beast,M,,,
Jin,Kim Seokjin,김석진,진,12/4/92,BTS,South Korea,,179,63,Gwacheon,,,M,,,
Suga,Min Yoongi,민윤기,슈가,3/9/93,BTS,South Korea,,176,59,Daegu,,,M,,,
J-Hope,Jung Hoseok,정호석,제이홉,2/18/94,BTS,South Korea,,177,65,Gwangju,,,M,,,
RM,Kim Namjoon,김남준,알엠,9/12/94,BTS,South Korea,,181,67,Ilsan,,,M,Leader,,
Jimin,Park Jimin,박지민,지민,10/13/95,BTS,South Korea,,175,61,Busan,,,M,,,
V,Kim Taehyung,김태형,뷔,12/30/95,BTS,South Korea,,179,62,Daegu,,,M,,,
Jungkook,Jeon Jungkook,전정국,정국,9/1/97,BTS,South Korea,,178,66,Busan,,,M,,,
Sungkyu,Kim Sungkyu,김성규,성규,4/28/89,Infinite,South Korea,,178,62,Jeonju,,,M,Leader,,
Dongwoo,Jang Dongwoo,장동우,동우,11/22/90,Infinite,South Korea,,171,58,Guri,Infinite H,,M,,,
Woohyun,Nam Woohyun,남우현,우현,2/8/91,Infinite,South Korea,,176,52,Seoul,Toheart,,M,,,
Hoya,Lee Howon,이호원,호야,3/28/91,,South Korea,,178,60,Busan,Infinite H,Infinite,M,,,
Sungyeol,Lee Sungyeol,이성열,성열,8/27/91,Infinite,South Korea,,183,59,Yongin,Infinite F,,M,,,
L,Kim Myungsoo,김명수,엘,3/13/92,Infinite,South Korea,,180,60,Seoul,Infinite F,,M,,,
Sungjong,Lee Sungjong,이성종,성종,9/3/93,Infinite,South Korea,,177,54,Gwangju,Infinite F,,M,,,
N,Cha Hakyeon,차학연,엔,6/30/90,VIXX,South Korea,,180,65,Changwon,Big Byung,,M,,,
Leo,Jung Taekwon,정택운,레오,11/10/90,VIXX,South Korea,,183,63,Seoul,VIXX LR,,M,,,
Ken,Lee Jaehwan,이재환,켄,4/6/92,VIXX,South Korea,,180,65,Seoul,,,M,,,
Ravi,Kim Wonsik,김원식,라비,2/15/93,VIXX,South Korea,,183,65,Seoul,VIXX LR,,M,,,
Hongbin,Lee Hongbin,이홍빈,홍빈,9/29/93,VIXX,South Korea,,181,62,Seoul,,,M,,,
Hyuk,Han Sanghyuk,한상혁,혁,7/5/95,VIXX,South Korea,,181,62,Daejeon,Big Byung,,M,,,
Jun. K,Kim Minjun,김민준,준케이,1/15/88,2PM,South Korea,,180,68,Daegu,,,M,,,
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,6/24/88,2PM,Thailand,USA,180,64,California,,,M,,,
Taecyeon,Ok Taecyeon,옥택연,택연,12/27/88,2PM,South Korea,,185,76,Busan,,,M,,,
Wooyoung,Jang Wooyoung,장우영,우영,4/30/89,2PM,South Korea,,178,65,Busan,,,M,,,
Junho,Lee Junho,이준호,준호,1/25/90,2PM,South Korea,,178,67,Ilsan,,,M,,,
Chansung,Hwang Chansung,황찬성,찬성,2/11/90,2PM,South Korea,,184,75,Seoul,,,M,,,
Jeongkyun,Jeong Jeongkyun,정정균,정균,11/27/87,,South Korea,,180,60,,,"N-Train, Bigflo",M,,,
Ron,Cheon Byeonghwa,천병화,론,1/22/91,Bigflo,South Korea,,183,62,,,,M,,,
Yoosung,Jeong Yoosung,정유성,유성,10/8/92,,South Korea,,175,52,,,Bigflo,M,,,
Z-UK,Jeong Jaewook,정재욱,지욱,1/27/93,,South Korea,,174,62,,,Bigflo,M,,,
HighTop,Lim Hyeontae,임현태,하이탑,3/19/94,Bigflo,South Korea,,178,60,,,,M,,,
Kichun,Hwang Kichun,황기천,기천,3/14/92,,South Korea,,179,63,,,Bigflo,M,,,
Eunkwang,Seo Eunkwang,서은광,은광,11/22/90,BtoB,South Korea,,173,62,Yongin,,,M,,,
Minhyuk,Lee Minhyuk,이민혁,민혁,11/29/90,BtoB,South Korea,,173,61,Seoul,,,M,,,
Changsub,Lee Changsub,이창섭,창섭,2/26/91,BtoB,South Korea,,177,64,Suwon,,,M,,,
Hyunsik,Lim Hyunsik,임현식,현식,3/7/92,BtoB,South Korea,,177,66,Ilsan,,,M,,,
Peniel,Shin Donggeun,신동근,프니엘,3/10/93,BtoB,South Korea,USA,175,63,Chicago,,,M,,,
Ilhoon,Jung Ilhoon,정일훈,일훈,10/4/94,BtoB,South Korea,,176,64,Seoul,,,M,,,
Sungjae,Yook Sungjae,육성재,성재,5/2/95,BtoB,South Korea,,180,68,Yongin,Big Byung,,M,,,
S.Coups,Choi Seungcheol,최승철,에스.쿱스,8/8/95,Seventeen,South Korea,,177,63,Daegu,,,M,,,
Wonwoo,Jeon Wonwoo,전원우,원우,7/17/96,Seventeen,South Korea,,180,57,Changwon,,,M,,,
Mingyu,Kim Mingyu,김민규,민규,4/6/97,Seventeen,South Korea,,185,65,Anyang,,,M,,,
Vernon,Choi Hansol,최한솔,버논,2/18/98,Seventeen,USA,South Korea,176,56,New York,,,M,,,
Woozi,Lee Jihoon,이지훈,우지,11/22/96,Seventeen,South Korea,,165,54,Busan,,,M,,,
Jeonghan,Yoon Jeonghan,윤정한,정한,10/4/95,Seventeen,South Korea,,175,54,Seoul,,,M,,,
Joshua,Hong Jisoo,홍지수,조슈아,12/30/95,Seventeen,USA,South Korea,176,63,Los Angeles,,,M,,,
DK,Lee Seongmin,이석민,도겸,2/18/97,Seventeen,South Korea,,178,68,Yongin,,,M,,,
Seungkwan,Boo Seungkwan,부승관,승관,1/16/98,Seventeen,South Korea,,172,58,Jeju,,,M,,,
Hoshi,Kwon Soonyoung,권순영,호시,6/15/96,Seventeen,South Korea,,178,63,Namyangju,,,M,,,
Jun,Weng Junhui,원쥔훼이,준,6/10/96,Seventeen,China,,180,63,Shenzen,,,M,,,
The8,Xu Minghao,쉬밍하오,디에잇,11/7/97,Seventeen,China,,175,53,Anshan,,,M,,,
Dino,Lee Chan,이찬,디노,2/11/99,Seventeen,South Korea,,167,54,Iksan,,,M,,,
Kyungil,Song Kyungil,송경일,경일,11/28/87,HISTORY,South Korea,,183,72,,,,M,,,
Dokyun,Na Dokyun,나도균,도균,2/11/91,HISTORY,South Korea,,184,65,Daejeon,,,M,,,
Sihyoung,Kim Sihyoung,김시형,시형,5/15/92,HISTORY,South Korea,,182,63,Busan,,,M,,,
Jaeho,Kim Jaeho,김재호,재호,9/17/92,HISTORY,South Korea,,174,58,,,,M,,,
Yijeong,Jang Yijeong,장이정,이정,9/10/93,HISTORY,South Korea,,173,58,Jinju,,,M,,,
Donghyun,Kim Donghyun,김동현,동현,2/12/89,Boyfriend,South Korea,,178,60,Seoul,,,M,,,
Hyunseong,Shim Hyunseong,심현성,현성,6/9/93,Boyfriend,South Korea,,178,58,Yeongcheon,,,M,,,
Jeongmin,Lee Jeongmin,이정민,정민,2/1/94,Boyfriend,South Korea,,173,60,Suwon,,,M,,,
Youngmin,Jo Youngmin,조영민,영민,4/24/95,Boyfriend,South Korea,,180,0,Anyang,,,M,,,
Kwangmin,Jo Kwangmin,조광민,광민,4/24/95,Boyfriend,South Korea,,180,0,Anyang,,,M,,,
Minwoo,No Minwoo,노민우,민우,7/31/95,Boyfriend,South Korea,,174,60,Anyang,,,M,,,
Seyoung,Lee Seyoung,이세영,세영,2/8/90,CROSS GENE,South Korea,,180,60,Busan,,,M,,,
Casper,Chu Xiaoxiang,저효상,캐스퍼,3/20/91,CROSS GENE,China,,176,66,Shanghai,,,M,,,
Shin,Shin Wonho,신원호,신,10/23/91,CROSS GENE,South Korea,,185,66,Seoul,,,M,,,
Takuya,Terada Takuya,테라다 타쿠야,타쿠야,3/18/92,CROSS GENE,Japan,,187,68,Moriya,,,M,,,
Sangmin,Kim Sangmin,김상민,상민,7/7/92,CROSS GENE,South Korea,,178,67,Jinju,,,M,,,
Yongseok,Kim Yongseok,김용석,용석,1/8/93,CROSS GENE,South Korea,,176,64,Seoul,,,M,,,
J.seph,Kim Taehyung,김태형,제이셉,6/21/92,KARD,South Korea,USA,0,0,,,,M,,,
BM,Matthew Kim,매튜김,비엠,10/20/92,KARD,South Korea,,0,0,,,,M,,,
Somin,Jeon Somin,전소민,소민,8/22/96,KARD,South Korea,,0,0,Seoul,,April,F,,,
Jiwoo,Jeon Jiwoo,전지우,지우,10/4/96,KARD,South Korea,,0,0,,,,F,,,
Youngji,Hur Youngji,허영지,영지,8/30/94,,South Korea,,0,0,Goyang,,KARA,F,,,
Gyuri,Park Gyuri,박규리,규리,5/21/88,KARA,South Korea,,0,0,Seoul,,,F,,,
Seungyeon,Han Seungyeon,한승연,승연,7/24/88,KARA,South Korea,,0,0,Seoul,,,F,,,
Hara†,Koo Hara,구하라,하라,1/13/91,KARA,South Korea,,0,0,Gwangju,,,F,,,
Nicole,Nicole Jung,정니콜,니콜,10/7/91,,South Korea,USA,0,0,Los Angeles,,KARA,F,,,
Jiyoung,Kang Jiyoung,강지영,지영,1/18/94,,South Korea,,0,0,Paju,,KARA,F,,,
Jinho,Jo Jinho,조진호,조진호,4/17/92,PENTAGON,South Korea,,0,0,,,,M,,,
Hui,Lee Hwitaek,이회택,후이,8/28/93,PENTAGON,South Korea,,0,0,,,,M,Leader,,
Hongseok,Yang Hongseok,양홍석,홍석,4/17/94,PENTAGON,South Korea,,0,0,,,,M,,,
E'Dawn,Kim Hyojong,김효종,이던,6/1/94,,South Korea,,0,0,,,PENTAGON,M,,,
Shinwon,Go Shinwon,고신원,신원,12/11/95,PENTAGON,South Korea,,0,0,,,,M,,,
Yeo One,Yeon Changgu,여창구,여원,3/27/96,PENTAGON,South Korea,,0,0,,,,M,,,
Yan An,Yan An,옌안,옌안,10/25/96,PENTAGON,China,,0,0,Shanghai,,,M,,,
Yuto,Adachi Yuto,아다치 유토,유토,1/23/98,PENTAGON,Japan,,0,0,,,,M,,,
Kino,Kang Hyungku,강형구,키노,1/27/98,PENTAGON,South Korea,,0,0,,,,M,,,
Wooseok,Jeong Wooseok,정우석,우석,1/31/98,PENTAGON,South Korea,,0,0,,,,M,,,
Moonhee,Choi Moonhee,최문희,문희,4/15/97,Bonus Baby,South Korea,,167,0,,,MyB,F,,,
Hayoon,Jung Hayoon,정하윤,하윤,11/21/98,Bonus Baby,South Korea,,163,0,,,MyB,F,,,
Chaehyun,Kim Chaehyun,김채현,채현,11/29/99,Bonus Baby,South Korea,,163,0,,,,F,,,
Dayun,Kim Dayun,김다윤,다윤,11/20/00,Bonus Baby,South Korea,,164,0,,,,F,,,
Gaon,Beom Gaon,범가온,가온,3/9/01,Bonus Baby,South Korea,,163,0,,,,F,,,
Kongyoo,Kong Yoojin,공유진,공유,5/11/01,Bonus Baby,South Korea,,163,0,,,,F,,,
Chaekyung,Yoon Chaekyung,윤채경,채경,7/7/96,APRIL,South Korea,,160,45,Incheon,"C.I.V.A, I.B.I",Puretty,F,,,
Rachel,Sung Nayeon,성나연,레이첼,8/28/00,APRIL,South Korea,USA,0,0,,,,F,,,
Sohee,Kim Sohee,소희,김소희,1/20/95,Nature,South Korea,,162,41,Busan,C.I.V.A,I.B.I,F,,,
Lee Haein,Lee Haein,이해인,이해인,7/4/92,I.B.I,South Korea,,165,49,Changwon,,,F,,,
Lee Suhyun,Lee Suhyun,이수현,이수현,11/5/96,I.B.I,South Korea,,167,50,Ansan,,,F,,,
Han Hyeri,Han Hyeri,한혜리,한혜리,8/24/97,I.B.I,South Korea,,159,42,Gwangmyeong,,,F,,soh_eee,
Hyosung,Jun Hyoseong,전효성,효성,10/13/89,SECRET,South Korea,,0,0,Cheongju,,,F,,secrettimehs,
Hana,Jung Hana,정하나,하나,2/2/90,SECRET,South Korea,,0,0,Uljeongbu,,,F,,,supahana
Jieun,Song Jieun,송지은,지은,5/5/90,SECRET,South Korea,,0,0,Seoul,,,F,,secret_jieunssong,
Sunhwa,Han Sunhwa,한선화,선화,10/6/90,,South Korea,,0,0,Busan,,SECRET,F,,shh_daily,
Heeyu,Choi Heejae,최희재,희유,6/30/95,MIXX,South Korea,,159,0,,,,F,,,
Mia,Son Hyunmi,손현미,미아,12/31/97,MIXX,South Korea,,174,0,,,,F,,,
Heejin,Jeon Heejin,전희진,희진,10/19/00,LOONA,South Korea,,0,0,Seongnam,Loona 1/3,,F,,,
Hyunjin,Kim Hyunjin,김현진,현진,11/15/00,LOONA,South Korea,,0,0,Jeonju,Loona 1/3,,F,,,
Haseul,Jo Haseul,조하슬,하슬,8/18/97,LOONA,South Korea,,0,0,Ansan,Loona 1/3,,F,,,
Yeojin,Im Yeojin,임여진,여진,11/11/02,LOONA,South Korea,,0,0,Guro,Loona 1/3,,F,,,
Handong,Han Dong,한동,한동,3/26/96,Dreamcatcher,China,,0,0,Wuhan,,,F,,,
Gahyeon,Lee Gahyeon,이가현,가현,2/3/99,Dreamcatcher,South Korea,,0,0,Seongnam,,,F,,,
Nayoung,Im Nayoung,임나영,나영,12/18/95,Pristin,South Korea,,171,51,Chungcheongham,"I.O.I, Pristin V",,F,,,
Roa,Kim Minkyung,김민경,로아,7/29/97,Hinapia,South Korea,,172,49,,Pristin V,Pristin,F,,,
Yuha,Kang Kyungwon,강경원,유하,11/5/97,Hinapia,South Korea,,170,50,,,Pristin,F,,,
Eunwoo,Jeong Eunwoo,정은우,은우,7/1/98,Hinapia,South Korea,,167,48,,Pristin V,Pristin,F,,,
Rena,Kang Yebin,강예빈,레나,10/19/98,Hinapia,South Korea,,162,49,,Pristin V,Pristin,F,,,
Kyulkyung,Zhou Jieqiong,저우제충,결경,12/16/98,Pristin,China,,167,49,Taizhou,"I.O.I, Pristin V",,F,,,
Yehana,Kim Yewon,김예원,예하나,2/22/99,Pristin,South Korea,,0,0,Ilsan,,,F,,,
Sungyeon,Bae Sungyeon,배성연,성연,5/25/99,Pristin,USA,South Korea,0,0,California,,,F,,,
Xiyeon,Park Junghyun,박정현,시연,11/14/00,Pristin,South Korea,,164,51,,,,F,,,
Kyla,Kyla Massie,카일라 매시,카일라,12/26/01,Pristin,USA,South Korea,0,0,California,,,F,,,
Alice,Song Joohee,송주희,앨리스,3/21/90,Hello Venus,South Korea,,166,47,Wonju,,,F,,jh.song_alice,
Nara,Kwon Nara,권나라,나라,3/13/91,Hello Venus,South Korea,,172,52,Seongnam,,,F,,hv_nara,
Lime,Kim Hyerim,김혜림,라임,1/19/93,Hello Venus,South Korea,,169,50,,,,F,,hv_lime,
Seoyoung,Lee Seoyoung,이서영,서영,6/27/94,Hello Venus,South Korea,,164,50,,,,F,,hv_seo0,
Yooyoung,Lee Yooyoung,이유영,유영,1/23/95,Hello Venus,South Korea,,170,49,Suwon,,,F,,hv_u0,
Yeoreum,Ahn Chaeyeon,안채연,여름,6/4/96,Hello Venus,South Korea,,167,48,,,,F,,,
Eunice,Heo Sooyeon,허수연,유니스,9/2/91,DIA,South Korea,,166,49,Busan,,,F,,,
Huihyeon,Ki Huihyeon,기희현,희현,6/16/95,DIA,South Korea,,167,46,Namwon,,,F,,,
Jenny,Lee Soyul,이소율,제니,9/4/96,,South Korea,,165,47,Seoul,,DIA,F,,,
Yebin,Baek Yebin,백예빈,예빈,7/13/97,DIA,South Korea,,164,43,Chuncheon,UNI.T,,F,,,
Eunjin,Ahn Eunjin,안은진,은진,8/31/97,,South Korea,,170,49,Mokpo,,DIA,F,,,
Chaeyeon,Jung Chaeyeon,정채연,채연,12/1/97,DIA,South Korea,,165,49,Suncheon,,I.O.I,F,,,
Eunchae,Kwon Chaewon,권채원,은채,5/26/99,DIA,South Korea,,0,0,,,,F,,,
Taeil,Moon Taeil,문태일,태일,6/14/94,NCT,South Korea,,171,60,Seoul,"NCT U, NCT 127",,M,Main Vocal,,
Taeyong,Lee Taeyong,이태용,태용,7/1/95,NCT,South Korea,,0,0,,"NCT U, NCT 127, SuperM",,M,,,
Doyoung,Kim Dongyoung,김동영,도영,2/1/96,NCT,South Korea,,0,0,Guri,"NCT U, NCT 127",,M,,,
Ten,Chittaphon Leechaiyapornkul,칫따폰 리차이야뽄꾼,텐,2/27/96,NCT,Thailand,,0,0,Bangkok,"NCT U,SuperM",,M,,,
Jaehyun,Jung Yoonoh,정윤오,재현,2/14/97,NCT,South Korea,,0,0,Seoul,"NCT U, NCT 127",,M,,,
Mark,Mark Lee,마크 리,마크,8/2/99,NCT,Canada,,0,0,Vancouver,"NCT U, NCT 127, NCT Dream, SuperM",,M,,,
Johnny,John Seo,존 서,쟈니,2/9/95,NCT,USA,,0,0,Chicago,NCT 127,,M,,,
Yuta,Nakamoto Yuta,나카모토 유타,유타,10/26/95,NCT,Japan,,0,0,Osaka,NCT 127,,M,,,
Winwin,Dong Sicheng,뚱쓰청,윈윈,10/28/97,NCT,China,,0,0,Zhejiang,NCT 127,,M,,,
Haechan,Lee Donghyuk,이동혁,해찬,6/6/00,NCT,South Korea,,0,0,,"NCT 127, NCT Dream",,M,,,
Renjun,Hwang Renjun,황런쥔,런쥔,3/23/00,NCT,China,,0,0,Jilin,NCT Dream,,M,,,
Jeno,Lee Jeno,이제노,제노,4/23/00,NCT,South Korea,,0,0,,NCT Dream,,M,,,
Jaemin,Na Jaemin,나재민,재민,8/13/00,NCT,South Korea,,0,0,,NCT Dream,,M,,,
Chenle,Zhong Chenle,중천러,천러,11/22/01,NCT,China,,0,0,Shanghai,NCT Dream,,M,,,
Jisung,Park Jisung,박지성,지성,2/5/02,NCT,South Korea,,0,0,,NCT Dream,,M,,,
Soohyun,Shin Soohyun,신수현,수현,3/11/89,U-KISS,South Korea,,0,0,Pocheon,,,M,,,
Kiseop,Lee Kiseop,이기섭,기섭,1/17/91,U-KISS,South Korea,,0,0,Seongnam,,,M,,,
Eli,Ellison Kim,엘리슨 킴,일라이,3/13/91,U-KISS,USA,South Korea,0,0,Los Angeles,,,M,,,
Hoon,Yeo Hoonmin,여훈민,훈,8/16/91,U-KISS,South Korea,,0,0,Namyangju,,,M,,,
Kevin,Christopher Woo,크리스토퍼 우,케빈,11/25/91,U-KISS,USA,South Korea,0,0,Los Angeles,,,M,,,
Jun,Lee Junyoung,이준영,준,1/22/97,U-KISS,South Korea,,0,0,,,,M,,,
Seungho,Yang Seungho,양승호,승호,10/16/87,MBLAQ,South Korea,,0,0,Seoul,,,M,,,
G.O,Jung Byunghee,정병희,지오,11/6/87,MBLAQ,South Korea,,0,0,Changwon,,,M,,,
Mir,Bang Cheolyong,방철용,미르,3/10/91,MBLAQ,South Korea,,0,0,Bukhamyeon,,,M,,,
